"","Factor1","Factor2","Factor3"
"SCZ_1",0.159946920165828,0.323075299464463,0.084665847120387
"SCZ_2",0.14290902211078,0.325668299868677,0.116402306127564
"SCZ_3",0.0937333222527044,0.282540348871786,0.00389438303819361
"SCZ_4",0.0713968320999209,0.2726814864758,0.0113963259630921
"SCZ_5",0.00678620101593489,0.232738951559144,-0.0211821029468814
"SCZ_6",0.112027367358614,0.352194199747503,0.0789596686924233
"SCZ_7",0.166855934396888,0.307131313572329,0.0991958752752187
"SCZ_8",0.00105043430149605,0.21988806125324,-0.000293582872655338
"SCZ_9",0.123817624233557,0.314349203552772,0.170127216841263
"SCZ_10",0.0200710567912434,0.296089898501752,0.0426341441880231
"SCZ_11",0.187389948404957,0.266532266660285,0.191265685282916
"SCZ_12",0.0649784113141984,0.201147109582465,0.0503004732166874
"SCZ_13",0.193580464761207,0.212987747021171,0.2735990453684
"SCZ_14",0.412800359275889,0.179827644533898,0.233995054839948
"SCZ_15",0.38967754794389,0.311185276023225,0.233932171056794
"SCZ_16",0.15150907304703,0.185944614603778,0.523195913510364
"SCZ_17",0.317373426593914,0.223541141338721,0.129140535435135
"SCZ_18",0.314046771424134,0.401466341182101,0.206599050799189
"SCZ_19",0.269373995059992,0.279525175475417,0.160043214431495
"SCZ_20",0.152765778130172,0.297198376065278,0.194236060037544
"SCZ_21",0.250575058890942,0.273673570827271,0.189988214042033
"SCZ_22",0.370025003718471,0.203359206751069,0.298120121998756
"SCZ_23",0.144767935010677,0.200662027857424,0.254262503862809
"SCZ_24",0.288311686746707,0.144178927700558,0.221457526552376
"SCZ_25",0.143540287235754,0.0925519238020077,0.260039574257493
"SCZ_26",0.0648462524594988,0.00144336850926185,0.102449453799733
"SCZ_27",0.0662189549141934,-0.0740288920156158,0.0645877080930018
"SCZ_28",0.290996799482781,0.0304491646915812,0.266032319421436
"SCZ_29",0.0955957825696718,-0.0020403955436433,0.121238790424418
"SCZ_30",0.175147465594421,-0.0294113552818142,0.424416977543268
"SCZ_31",0.03314208652808,0.0265012605047001,0.132001002255751
"SCZ_32",0.191894115877002,0.18647456886204,0.293293156738377
"SCZ_33",0.177532264134749,0.060143784935345,0.400730580705914
"SCZ_34",0.104812762980143,0.121295118021974,-0.0390250635233807
"SCZ_35",0.130127893270874,0.251955060546028,-0.0141571356375871
